Task ID,Task Name,Epic,Status,Priority,Description
1.1,Set up project structure,Core Test Framework,Done,High,"Create config.py, test_framework.py, tts_test_plan.py, runner entry point"
1.2,Create config.py — constants & enums,Core Test Framework,Done,High,"API key, model (zero-indic), 46 voices, 11 expressions, 7 formats, 6 speeds"
1.3,Create test_framework.py — TestResult & TestSuite,Core Test Framework,Done,High,"TestResult dataclass, TestSuite class with pass/fail/error tracking, run_test_case() helper"
1.4,Create test_inputs.json — centralized editable inputs,Core Test Framework,Done,High,"JSON file with all 105 test inputs organized by category (batch, streaming, voices, etc.)"
2.1,Batch TTS tests (6 tests),Test Cases,Done,High,"English/Hindi/Tamil male+female voices + long text (500+ chars)"
2.2,Streaming TTS tests (5 tests),Test Cases,Done,High,"Manual chunk collection, detailed mode (metadata), file output, Hindi voice, female voice"
2.3,Voice coverage tests (46 tests),Test Cases,Done,High,"All 46 voices across 23 Indian languages — male + female per language"
2.4,Output format tests (7 tests),Test Cases,Done,Medium,"PCM, WAV, MP3, OGG_OPUS, FLAC, MULAW, ALAW"
2.5,Speed variation tests (6 tests),Test Cases,Done,Medium,"0.25x, 0.5x, 1.0x, 1.5x, 2.0x, 4.0x"
2.6,Expression style tests (11 tests),Test Cases,Done,Medium,"Happy, Sad, Angry, Fearful, Surprised, Disgust, News, Conversational, Narrative, Enthusiastic, Neutral"
2.7,Silence trimming tests (2 tests),Test Cases,Done,Medium,"Trim silence ON vs OFF — compare audio size difference"
2.8,Audio normalization tests (3 tests),Test Cases,Done,Medium,"none, peak, loudness normalization modes"
2.9,Timestamp tests (2 tests),Test Cases,Done,Medium,"Timestamps ON vs OFF — verify word-level timing metadata"
2.10,Background audio tests (10 tests),Test Cases,Done,Medium,"5 presets (office, cafe, nature, music, rain) + 4 volume levels (0.05, 0.1, 0.3, 0.5) + baseline"
2.11,Edge case tests (7 tests),Test Cases,Done,High,"Single word, numbers & special chars, heavy punctuation, Hindi-English code-switching, min/max speed, combined features"
3.1,Create sheets_reporter.py — POST results to Apps Script,Google Sheets Reporting,Done,High,"HTTP POST with test results payload to Apps Script web app URL"
3.2,Create apps_script.js — doPost for Test Results sheet,Google Sheets Reporting,Done,High,"Parse POST payload, write to 'Test Results' sheet with color-coded PASS/FAIL/ERROR status"
3.3,Add Summary sheet — category-level stats,Google Sheets Reporting,Done,Medium,"Category pass rate, avg latency, overall totals, color-coded pass rates"
3.4,Add auto-resize columns + header formatting,Google Sheets Reporting,Done,Low,"Dark header row, auto-resize columns, wrap long text, column widths"
4.1,Add doGet handler — return inputs from Inputs sheet,Editable Inputs via Sheet,Done,High,"Apps Script GET endpoint returns JSON of all test inputs from 'Inputs' tab"
4.2,Add fetch_inputs_from_sheet() in Python,Editable Inputs via Sheet,Done,High,"GET request before each run to load inputs from Google Sheet"
4.3,Create populateInputsSheet() in Apps Script,Editable Inputs via Sheet,Done,Medium,"Color-coded editable Inputs tab with Section/Key/Sub-Key/Voice/Text columns"
4.4,Wire bidirectional sync — Sheet to Python to Sheet,Editable Inputs via Sheet,Done,High,"Sheet → Python (GET inputs) → run tests → Sheet (POST results + updated inputs), local JSON fallback"
5.1,Create shared TTS_Test_Audio Drive folder,Audio Playback Links,Done,High,"getAudioFolder() — create or get folder, set sharing to ANYONE_WITH_LINK"
5.2,Implement uploadAudio() — base64 to Drive file,Audio Playback Links,Done,High,"Decode base64, create file in Drive folder, set public sharing, return file ID"
5.3,Add base64 encoding in Python,Audio Playback Links,Done,High,"_read_audio_b64() reads audio file and encodes, _mime_for_format() maps format to MIME type"
5.4,Implement 2-phase upload strategy,Audio Playback Links,Done,High,"Phase 1: push results (no audio) fast. Phase 2: upload audio in batches of 5 files per POST"
5.5,Add handleAudioUpload() in Apps Script,Audio Playback Links,Done,High,"Batch audio upload handler — uploads to Drive, updates Audio Link column in Test Results sheet"
5.6,Add retry logic for failed audio batches,Audio Playback Links,Done,Medium,"3 attempts with 5s backoff per batch, graceful error handling"
5.7,Add clickable HYPERLINK Play buttons in sheet,Audio Playback Links,Done,Medium,"HYPERLINK formula with ▶ Play text, blue font, bold — anyone with sheet link can listen"
6.1,Set up .gitignore,CI / Repo,Done,Low,"Exclude .env, venv/, output/, __pycache__/, .DS_Store"
6.2,Push to GitHub repo saira-uwc/Shunyalabs_TTS,CI / Repo,Done,High,"Initial push to https://github.com/saira-uwc/Shunyalabs_TTS.git"
6.3,Commit: Initial test suite framework,CI / Repo,Done,Medium,"All core files — config, framework, test plan, inputs, sheets reporter, apps script"
6.4,Commit: Drive audio upload with batched transfer,CI / Repo,Done,Medium,"2-phase upload, retry logic, clickable play links, bidirectional input sync"
